create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/10 10:04:53,166,울산광역시 울주군,192894,"적설에 따라 배내고개, 운문재 구간 양방향 교통통제 중입니다. 교통정보 확인 및 우회 바랍니다. 문복로, 석남터널은 통행가능함을 알려드립니다.",cbs,울주군청,,,"[('확인 우회 바랍니다', 0.6164)]"
2023/02/10 08:18:03,166,울산광역시 울주군,192883,"강설에 따라 배내고개, 석남터널, 운문로, 문복로 구간 양방향 교통통제 중입니다. 교통정보 확인 및 우회 바랍니다.",cbs,울주군청,,,"[('중입니다 교통정보 확인', 0.6175)]"
2023/01/24 09:35:29,166,울산광역시 울주군,191576,"최강 한파가 지속되고 있습니다. 각 가정에서는 난방과 수도계량기, 수도관 동파에 유의하시고 어르신 개인보온 및 낙상사고에 각별히 주의하시기 바랍니다.",cbs,울주군청,,,"[('최강 한파가', 0.6702)]"
2023/01/23 18:51:17,166,울산광역시 울주군,191474,"오늘 21시부로 급격한 기온하락으로 강추위가 예상되오니 노약자 외출자제 건강유의,동파방지, 화재예방 등 피해에 주의하시기 바랍니다.",cbs,울주군청,,,"[('노약자 외출자제 건강유의', 0.6812)]"
2023/01/05 19:36:55,166,울산광역시 울주군,188970,"1. 6.(금) 06시~21시 초미세먼지 비상저감조치 시행, 배출가스 5등급 경유차량 운행 제한, 외출 시 마스크 착용, 취약계층 야외활동 자제",cbs,울주군청,금,,"[('시행 배출가스', 0.4836)]"
2022/12/09 06:11:20,166,울산광역시 울주군,184213,범서읍 중리 일원 곰은 총 3마리로 확인되어 조치완료됨을 안내드립니다.,cbs,울주군청,,,"[('확인되어 조치완료됨을', 0.3331)]"
2022/12/09 01:32:49,166,울산광역시 울주군,184212,"범서읍 중리 일원 곰 1마리 더 추가로 있을 것으로 추정되어, 경찰에서 순찰중. 인근 주민은 외출 시 주의하시고 발견 즉시 신고바람.",cbs,울주군청,,,"[('범서읍 중리 일원', 0.6994)]"
2022/12/08 23:38:28,166,울산광역시 울주군,184211,23:33분경 범서읍 중리 376-11번지 곰사육농장에서 탈출한 곰세마리 모두 사살 완료하였음을 안내드립니다.,cbs,울주군청,,,"[('중리 376', 0.4045)]"
2022/12/08 23:25:52,166,울산광역시 울주군,184210,"범서읍 중리 376-11번지 곰사육농장에서 곰세마리 탈출 발생, 현재 한마리 사살, 두마리 포획 중으로 인근주민은 외출 삼가바랍니다.",cbs,울주군청,,,"[('곰세마리 탈출 발생', 0.6002)]"
2022/11/29 18:02:46,166,울산광역시 울주군,182968,"금일 21:00 한파경보 발효. 외출시 방한용품 착용, 수도관 등 시설물 동파 대비, 도로결빙 가능성이 있으므로 교통 안전에 주의 바랍니다.",cbs,울주군청,,,"[('착용 수도관 시설물', 0.6805)]"
2022/09/19 09:41:54,166,울산광역시 울주군,173612,대암댐의 여수로 자연월류(월류량: 최대 5㎥/초)가 예삼됨을 안내 드리오니 인명 및 시설물 피해가 없도록 대비하여 주시기 바랍니다.,cbs,울주군청,월류량: 최대 5㎥/초,,"[('자연월류 월류량 최대', 0.6467)]"
2022/09/18 22:24:06,166,울산광역시 울주군,173541,태풍경보가 발효 중 입니다. 침수 위험이 높은 지하 공간 주차 및 접근 금지하여 주시고 안전에 유의하여 주시기 바랍니다.,cbs,울주군청,,,"[('지하 공간 주차', 0.6549)]"
